# wind_disasters.csv,,,,,,,,,,
# file format as follows,,,,,,,,,,
# type,event_name ,num_killed ,damage ,start_year ,start_month ,start_day ,iso ,country_name ,region ,continent 
Cyclone , ,0,0,1958,1,7,FJI ,Fiji ,Oceania ,Oceania 
Cyclone , ,2,0,1965,2,7,FJI ,Fiji ,Oceania ,Oceania 
Cyclone ,Bebe ,3,22500,1972,10,24,FJI ,Fiji ,Oceania ,Oceania 
Cyclone ,Juliette ,0,0,1973,4,3,FJI ,Fiji ,Oceania ,Oceania 
Cyclone ,Lottie ,59,0,1973,12,9,FJI ,Fiji ,Oceania ,Oceania 
Cyclone ,Val ,0,1000,1975,1,30,FJI ,Fiji ,Oceania ,Oceania 
Cyclone ,Bob ,0,0,1978,2,4,FJI ,Fiji ,Oceania ,Oceania 
Cyclone ,Meli ,53,0,1979,3,27,FJI ,Fiji ,Oceania ,Oceania 
Cyclone ,Wally ,18,2256,1980,3,24,FJI ,Fiji ,Oceania ,Oceania 
Cyclone ,Arthur ,0,0,1981,1,15,FJI ,Fiji ,Oceania ,Oceania 
Cyclone ,Oscar ,9,50000,1983,3,1,FJI ,Fiji ,Oceania ,Oceania 
Cyclone ,Sarah ,0,851,1983,3,25,FJI ,Fiji ,Oceania ,Oceania 
Cyclone ,Eric; Nigel; Odette ,28,73000,1985,1,17,FJI ,Fiji ,Oceania ,Oceania 
Cyclone ,Gavin ,3,0,1985,3,5,FJI ,Fiji ,Oceania ,Oceania 
Cyclone , ,1,3000,1985,3,17,FJI ,Fiji ,Oceania ,Oceania 
Cyclone ,Rajah ,1,20000,1986,12,28,FJI ,Fiji ,Oceania ,Oceania 
Storm , ,1,25000,1987,1,0,FJI ,Fiji ,Oceania ,Oceania 
Cyclone ,Sina ,0,10000,1990,11,28,FJI ,Fiji ,Oceania ,Oceania 
Cyclone ,Joni ,1,261313,1992,12,11,FJI ,Fiji ,Oceania ,Oceania 
Cyclone ,Kina ,21,100000,1993,1,2,FJI ,Fiji ,Oceania ,Oceania 
Cyclone ,Gavin ,25,27000,1997,3,10,FJI ,Fiji ,Oceania ,Oceania 
Cyclone ,Dani ,12,215,1999,1,19,FJI ,Fiji ,Oceania ,Oceania 
Cyclone ,Paula ,1,0,2001,3,1,FJI ,Fiji ,Oceania ,Oceania 
Tropical storm ,Ami ,17,30000,2003,1,14,FJI ,Fiji ,Oceania ,Oceania 
Tropical storm , ,16,4000,2004,4,8,FJI ,Fiji ,Oceania ,Oceania 
Tornado , ,5,20000,1967,6,25,FRA ,France ,European Union ,Europe 
Storm , ,23,0,1969,7,6,FRA ,France ,European Union ,Europe 
Winter , ,0,0,1976,1,0,FRA ,France ,European Union ,Europe 
Winter , ,12,350000,1982,11,6,FRA ,France ,European Union ,Europe 
Winter , ,0,0,1982,1,15,FRA ,France ,European Union ,Europe 
Storm , ,0,0,1983,2,0,FRA ,France ,European Union ,Europe 
Storm , ,11,0,1983,7,26,FRA ,France ,European Union ,Europe 
Storm , ,4,200000,1984,7,11,FRA ,France ,European Union ,Europe 
Tropical storm ,Hortense ,0,0,1984,10,5,FRA ,France ,European Union ,Europe 
Storm , ,0,0,1984,11,21,FRA ,France ,European Union ,Europe 
Storm , ,0,0,1985,8,0,FRA ,France ,European Union ,Europe 
Winter , ,4,1700000,1987,10,16,FRA ,France ,European Union ,Europe 
Storm , ,9,0,1989,2,26,FRA ,France ,European Union ,Europe 
Winter , ,0,0,1990,12,9,FRA ,France ,European Union ,Europe 
Winter ,Daria ,66,1969275,1990,1,0,FRA ,France ,European Union ,Europe 
Storm , ,1,0,1992,1,22,FRA ,France ,European Union ,Europe 
Storm , ,47,0,1992,9,22,FRA ,France ,European Union ,Europe 
Storm , ,2,0,1993,7,5,FRA ,France ,European Union ,Europe 
Storm , ,10,70000,1993,9,0,FRA ,France ,European Union ,Europe 
Storm ,Cilly; Desiree; Fanny ,6,0,1998,1,0,FRA ,France ,European Union ,Europe 
Storm , ,3,0,1999,5,30,FRA ,France ,European Union ,Europe 
Storm ,Lothar ,92,8000000,1999,12,26,FRA ,France ,European Union ,Europe 
Storm , ,6,0,2000,9,19,FRA ,France ,European Union ,Europe 
Tornado , ,12,0,2001,7,6,FRA ,France ,European Union ,Europe 
Tornado , ,2,0,2001,10,20,FRA ,France ,European Union ,Europe 
Storm ,Jeanett ,4,0,2002,10,27,FRA ,France ,European Union ,Europe 
Storm , ,1,0,2002,11,18,FRA ,France ,European Union ,Europe 
Storm , ,5,0,2003,7,15,FRA ,France ,European Union ,Europe 
Storm , ,11,0,2004,8,17,FRA ,France ,European Union ,Europe 
Cyclone , ,0,0,1958,1,19,PYF ,French Polynesia ,Oceania ,Oceania 
Cyclone ,Orama ,6,16000,1983,2,0,PYF ,French Polynesia ,Oceania ,Oceania 
Cyclone ,Veena ,1,21000,1983,4,14,PYF ,French Polynesia ,Oceania ,Oceania 
Storm , ,3,0,2003,8,24,GMB ,Gambia The ,West Africa ,Africa 
Storm , ,2,0,2004,5,24,GMB ,Gambia The ,West Africa ,Africa 
Winter , ,0,0,2001,2,0,GEO ,Georgia ,Russian Federation ,Asia 
Winter ,Daria ,64,4535300,1990,1,0,DEU ,Germany ,European Union ,Europe 
Storm , ,6,380000,1993,1,14,DEU ,Germany ,European Union ,Europe 
Storm ,Gordon ,5,0,1994,1,28,DEU ,Germany ,European Union ,Europe 
Storm , ,0,300000,1995,7,21,DEU ,Germany ,European Union ,Europe 
Storm ,Lothar ,15,1600000,1999,12,26,DEU ,Germany ,European Union ,Europe 
Storm , ,6,300000,2001,7,6,DEU ,Germany ,European Union ,Europe 
Storm ,Jennifer ,4,150000,2002,1,28,DEU ,Germany ,European Union ,Europe 
Storm , ,7,0,2002,7,10,DEU ,Germany ,European Union ,Europe 
Storm , ,10,0,2002,10,26,DEU ,Germany ,European Union ,Europe 
Storm , ,10,0,2003,6,7,DEU ,Germany ,European Union ,Europe 
Winter ,Gerda ,0,130000,2004,1,12,DEU ,Germany ,European Union ,Europe 
Storm , ,2,0,2005,1,8,DEU ,Germany ,European Union ,Europe 
Storm , ,0,0,1984,1,0,DDR ,Germany Dem Rep ,Rest of Europe ,Europe 
Storm , ,0,0,1984,7,0,DDR ,Germany Dem Rep ,Rest of Europe ,Europe 
Storm , ,0,0,1985,8,0,DDR ,Germany Dem Rep ,Rest of Europe ,Europe 
Storm , ,0,55000,1929,7,0,DFR ,Germany Fed Rep ,European Union ,Europe 
Storm , ,0,25000,1953,7,0,DFR ,Germany Fed Rep ,European Union ,Europe 
Storm , ,347,600000,1962,2,0,DFR ,Germany Fed Rep ,European Union ,Europe 
Tornado , ,2,31000,1968,7,10,DFR ,Germany Fed Rep ,European Union ,Europe 
Winter , ,54,420000,1972,11,12,DFR ,Germany Fed Rep ,European Union ,Europe 
Storm , ,0,22000,1974,8,0,DFR ,Germany Fed Rep ,European Union ,Europe 
Winter ,Capella ,82,1300000,1976,1,2,DFR ,Germany Fed Rep ,European Union ,Europe 
Storm , ,3,1000000,1984,7,12,DFR ,Germany Fed Rep ,European Union ,Europe 
Storm , ,0,0,1984,11,22,DFR ,Germany Fed Rep ,European Union ,Europe 
Storm , ,0,0,1985,8,0,DFR ,Germany Fed Rep ,European Union ,Europe 
Storm , ,22,0,1930,6,13,GRC ,Greece ,European Union ,Europe 
Cyclone , ,43,0,1961,11,0,GRC ,Greece ,European Union ,Europe 
Storm , ,48,350000,1987,3,0,GRC ,Greece ,European Union ,Europe 
Winter , ,2,0,2002,1,4,GRC ,Greece ,European Union ,Europe 
Winter , ,0,0,2004,1,22,GRC ,Greece ,European Union ,Europe 
Hurricane ,Flora ,6,0,1963,9,30,GRD ,Grenada ,Caribbean ,Americas 
Hurricane ,Allen ,0,5300,1980,8,4,GRD ,Grenada ,Caribbean ,Americas 
Tropical storm ,Arthur ,0,0,1990,7,26,GRD ,Grenada ,Caribbean ,Americas 
Hurricane ,Lenny ,0,5500,1999,11,14,GRD ,Grenada ,Caribbean ,Americas 
Hurricane ,Ivan ,39,889000,2004,9,8,GRD ,Grenada ,Caribbean ,Americas 
Hurricane ,Emily ,1,0,2005,7,17,GRD ,Grenada ,Caribbean ,Americas 
Hurricane ,Felipe ,2000,0,1928,9,15,GLP ,Guadeloupe ,Caribbean ,Americas 
Hurricane ,Betsy ,0,0,1956,8,11,GLP ,Guadeloupe ,Caribbean ,Americas 
Hurricane ,Cleo ,14,0,1964,8,22,GLP ,Guadeloupe ,Caribbean ,Americas 
Hurricane ,Inez ,25,70000,1966,9,27,GLP ,Guadeloupe ,Caribbean ,Americas 
Hurricane , ,0,0,1970,8,20,GLP ,Guadeloupe ,Caribbean ,Americas 
Hurricane ,David ,0,100000,1979,8,0,GLP ,Guadeloupe ,Caribbean ,Americas 
Hurricane ,Hugo ,5,50000,1989,9,17,GLP ,Guadeloupe ,Caribbean ,Americas 
Hurricane ,Gustav ,0,0,1990,8,27,GLP ,Guadeloupe ,Caribbean ,Americas 
Hurricane ,Lenny ,4,0,1999,11,17,GLP ,Guadeloupe ,Caribbean ,Americas 
Cyclone ,Karen ,9,250000,1962,11,0,GUM ,Guam ,Oceania ,Oceania 
Cyclone ,Pamela ,10,120000,1976,5,0,GUM ,Guam ,Oceania ,Oceania 
Cyclone ,Lynn ,0,145,1987,10,0,GUM ,Guam ,Oceania ,Oceania 
Cyclone ,Omar ,1,300000,1992,8,28,GUM ,Guam ,Oceania ,Oceania 
Cyclone ,Paka ,0,200000,1997,12,17,GUM ,Guam ,Oceania ,Oceania 
Typhoon ,Chata'an ,0,0,2002,7,5,GUM ,Guam ,Oceania ,Oceania 
Typhoon ,Pongsona ,1,70000,2002,12,8,GUM ,Guam ,Oceania ,Oceania 
Tropical storm ,Tingting ,4,0,2004,6,27,GUM ,Guam ,Oceania ,Oceania 
Hurricane ,Francelia ,269,15000,1969,9,5,GTM ,Guatemala ,Central America ,Americas 
Hurricane ,Mitch ,384,748000,1998,10,26,GTM ,Guatemala ,Central America ,Americas 
Hurricane ,Iris ,8,0,2001,10,8,GTM ,Guatemala ,Central America ,Americas 
Hurricane ,Isidore ,2,0,2002,9,20,GTM ,Guatemala ,Central America ,Americas 
Hurricane ,Stan ,1513,988300,2005,10,1,GTM ,Guatemala ,Central America ,Americas 
Tornado , ,4,0,2000,6,11,GIN ,Guinea ,West Africa ,Africa 
Storm , ,1,0,1987,7,1,GNB ,Guinea Bissau ,West Africa ,Africa 
Cyclone , ,0,0,1993,9,10,GNB ,Guinea Bissau ,West Africa ,Africa 
Hurricane , ,150,0,1909,11,12,HTI ,Haiti ,Caribbean ,Americas 
Hurricane , ,1600,0,1915,8,12,HTI ,Haiti ,Caribbean ,Americas 
Hurricane ,Jeremie & Jacmel ,2150,0,1935,10,21,HTI ,Haiti ,Caribbean ,Americas 
Hurricane ,Hazel ,410,0,1954,10,5,HTI ,Haiti ,Caribbean ,Americas 
Hurricane ,Flora ,5000,180000,1963,10,4,HTI ,Haiti ,Caribbean ,Americas 
Hurricane ,Cleo ,100,10000,1964,8,24,HTI ,Haiti ,Caribbean ,Americas 
Hurricane ,Inez ,480,20000,1966,9,29,HTI ,Haiti ,Caribbean ,Americas 
Hurricane ,David ,8,0,1979,8,31,HTI ,Haiti ,Caribbean ,Americas 
Hurricane ,Allen ,300,40000,1980,8,5,HTI ,Haiti ,Caribbean ,Americas 
Hurricane ,Gilbert ,54,91286,1988,9,11,HTI ,Haiti ,Caribbean ,Americas 
Tropical storm ,Arthur ,0,0,1990,7,27,HTI ,Haiti ,Caribbean ,Americas 
Storm ,Gordon ,1122,0,1994,11,15,HTI ,Haiti ,Caribbean ,Americas 
Storm , ,40,0,1996,10,23,HTI ,Haiti ,Caribbean ,Americas 
Hurricane ,Georges ,190,80000,1998,9,20,HTI ,Haiti ,Caribbean ,Americas 
Hurricane ,Lili ,0,0,2002,9,30,HTI ,Haiti ,Caribbean ,Americas 
Storm , ,26,0,2003,10,6,HTI ,Haiti ,Caribbean ,Americas 
Hurricane ,Ivan ,3,0,2004,9,13,HTI ,Haiti ,Caribbean ,Americas 
Hurricane ,Jeanne ,2754,21000,2004,9,17,HTI ,Haiti ,Caribbean ,Americas 
Hurricane ,Dennis ,40,0,2005,7,7,HTI ,Haiti ,Caribbean ,Americas 
Hurricane ,Emily ,6,0,2005,7,17,HTI ,Haiti ,Caribbean ,Americas 
Hurricane ,Stan ,1,0,2005,10,0,HTI ,Haiti ,Caribbean ,Americas 
Hurricane ,Wilma ,5,0,2005,10,19,HTI ,Haiti ,Caribbean ,Americas 
Tropical storm ,Alpha ,17,0,2005,10,23,HTI ,Haiti ,Caribbean ,Americas 
Hurricane , ,1500,0,1931,9,10,HND ,Honduras ,Central America ,Americas 
Hurricane , ,275,0,1961,10,0,HND ,Honduras ,Central America ,Americas 
Hurricane ,Francelia ,0,19000,1969,9,1,HND ,Honduras ,Central America ,Americas 
Hurricane , ,0,0,1971,9,9,HND ,Honduras ,Central America ,Americas 
Hurricane ,Fifi ,8000,540000,1974,9,18,HND ,Honduras ,Central America ,Americas 
Hurricane ,Greta ,0,1000,1978,9,17,HND ,Honduras ,Central America ,Americas 
Tropical storm ,Alleta ,130,101000,1982,5,24,HND ,Honduras ,Central America ,Americas 
Hurricane ,Joan ,0,0,1988,10,16,HND ,Honduras ,Central America ,Americas 
Hurricane ,Allison ,18,0,1995,6,3,HND ,Honduras ,Central America ,Americas 
Hurricane ,Mitch ,14600,3793600,1998,10,25,HND ,Honduras ,Central America ,Americas 
Hurricane ,Michelle ,21,0,2001,10,30,HND ,Honduras ,Central America ,Americas 
Hurricane ,Stan ,6,0,2005,9,28,HND ,Honduras ,Central America ,Americas 
Hurricane ,Wilma ,0,0,2005,10,21,HND ,Honduras ,Central America ,Americas 
Hurricane ,Beta ,0,0,2005,10,30,HND ,Honduras ,Central America ,Americas 
Tropical storm ,Gamma ,47,0,2005,11,18,HND ,Honduras ,Central America ,Americas 
Typhoon , ,10000,20000,1906,9,8,HKG ,Hong Kong (China) ,East Asia ,Asia 
Typhoon , ,100,0,1923,8,12,HKG ,Hong Kong (China) ,East Asia ,Asia 
Typhoon , ,11000,0,1937,9,1,HKG ,Hong Kong (China) ,East Asia ,Asia 
Typhoon , ,2000,0,1947,10,7,HKG ,Hong Kong (China) ,East Asia ,Asia 
Typhoon ,Gloria ,8,0,1957,9,20,HKG ,Hong Kong (China) ,East Asia ,Asia 
Storm , ,43,0,1959,6,0,HKG ,Hong Kong (China) ,East Asia ,Asia 
Typhoon ,Mary ,45,0,1960,6,4,HKG ,Hong Kong (China) ,East Asia ,Asia 
Tropical storm ,Olga ,7,0,1961,9,9,HKG ,Hong Kong (China) ,East Asia ,Asia 
Typhoon ,Wanda ,183,0,1962,8,28,HKG ,Hong Kong (China) ,East Asia ,Asia 
Typhoon ,Ruby ,44,0,1964,9,5,HKG ,Hong Kong (China) ,East Asia ,Asia 
Typhoon ,Dot ,26,0,1964,10,12,HKG ,Hong Kong (China) ,East Asia ,Asia 
Tropical storm ,Agnes ,5,0,1965,9,26,HKG ,Hong Kong (China) ,East Asia ,Asia 
Storm , ,15,0,1966,4,4,HKG ,Hong Kong (China) ,East Asia ,Asia 
Tropical storm ,Kate ,0,0,1967,8,19,HKG ,Hong Kong (China) ,East Asia ,Asia 
Typhoon ,Shirley ,0,0,1968,8,21,HKG ,Hong Kong (China) ,East Asia ,Asia 
Typhoon ,Viola ,0,0,1969,7,28,HKG ,Hong Kong (China) ,East Asia ,Asia 
Typhoon ,Rose ,115,0,1971,8,17,HKG ,Hong Kong (China) ,East Asia ,Asia 
Typhoon ,Dot ,1,0,1973,7,15,HKG ,Hong Kong (China) ,East Asia ,Asia 
Typhoon ,Carmen ,1,0,1974,10,17,HKG ,Hong Kong (China) ,East Asia ,Asia 
Typhoon ,Elaine ,0,0,1974,10,28,HKG ,Hong Kong (China) ,East Asia ,Asia 
Storm , ,0,0,1975,4,28,HKG ,Hong Kong (China) ,East Asia ,Asia 
Typhoon ,Elsie ,0,0,1975,10,12,HKG ,Hong Kong (China) ,East Asia ,Asia 
Typhoon ,Ruby ,5,0,1976,6,26,HKG ,Hong Kong (China) ,East Asia ,Asia 
Tropical storm ,Violet ,3,0,1976,7,22,HKG ,Hong Kong (China) ,East Asia ,Asia 
Typhoon ,Ellen ,30,0,1976,8,24,HKG ,Hong Kong (China) ,East Asia ,Asia 
Tropical storm , ,0,0,1977,7,4,HKG ,Hong Kong (China) ,East Asia ,Asia 
Tropical storm ,Freda ,1,0,1977,9,22,HKG ,Hong Kong (China) ,East Asia ,Asia 
Tropical storm ,Agnes ,3,0,1978,7,28,HKG ,Hong Kong (China) ,East Asia ,Asia 
Tropical storm , Elaine ,1,0,1978,8,23,HKG ,Hong Kong (China) ,East Asia ,Asia 
Tropical storm ,Kit ,7,0,1978,9,22,HKG ,Hong Kong (China) ,East Asia ,Asia 
Typhoon ,Hope ,12,10000,1979,7,28,HKG ,Hong Kong (China) ,East Asia ,Asia 
Typhoon ,Mac ,1,0,1979,9,23,HKG ,Hong Kong (China) ,East Asia ,Asia 
Storm , ,0,0,1980,8,7,HKG ,Hong Kong (China) ,East Asia ,Asia 
Typhoon ,Joe ,2,0,1980,7,18,HKG ,Hong Kong (China) ,East Asia ,Asia 
Storm , ,0,0,1981,3,19,HKG ,Hong Kong (China) ,East Asia ,Asia 
Storm ,Dot ,5,0,1982,8,15,HKG ,Hong Kong (China) ,East Asia ,Asia 
Typhoon ,Ellen ,22,12544,1983,9,9,HKG ,Hong Kong (China) ,East Asia ,Asia 
Typhoon ,Joe ,0,0,1983,0,0,HKG ,Hong Kong (China) ,East Asia ,Asia 
Typhoon ,Tess ,2,42,1985,9,6,HKG ,Hong Kong (China) ,East Asia ,Asia 
Typhoon ,Peggy ,1,0,1986,7,9,HKG ,Hong Kong (China) ,East Asia ,Asia 
Typhoon ,Wayne ,4,0,1986,8,21,HKG ,Hong Kong (China) ,East Asia ,Asia 
Typhoon ,Ruby ,0,0,1988,10,21,HKG ,Hong Kong (China) ,East Asia ,Asia 
Typhoon ,Brenda ,7,0,1989,5,16,HKG ,Hong Kong (China) ,East Asia ,Asia 
Typhoon ,Gordon ,2,67,1989,7,11,HKG ,Hong Kong (China) ,East Asia ,Asia 
Typhoon ,Fred ,22,132000,1991,8,15,HKG ,Hong Kong (China) ,East Asia ,Asia 
Tropical storm ,Gari (Ditang) ,0,219700,1992,7,20,HKG ,Hong Kong (China) ,East Asia ,Asia 
Storm ,Faye ,2,0,1992,7,20,HKG ,Hong Kong (China) ,East Asia ,Asia 
Typhoon ,Koryn ,4,120,1993,6,27,HKG ,Hong Kong (China) ,East Asia ,Asia 
Storm ,Lewis ,0,0,1993,7,8,HKG ,Hong Kong (China) ,East Asia ,Asia 
Typhoon ,Tasha ,0,0,1993,8,20,HKG ,Hong Kong (China) ,East Asia ,Asia 
Storm ,Becky ,82,140,1993,9,15,HKG ,Hong Kong (China) ,East Asia ,Asia 
Typhoon ,Dot ,1,6000,1993,9,23,HKG ,Hong Kong (China) ,East Asia ,Asia 
Typhoon ,Ira ,2,800,1993,10,28,HKG ,Hong Kong (China) ,East Asia ,Asia 
Typhoon ,York ,2,0,1999,9,16,HKG ,Hong Kong (China) ,East Asia ,Asia 
Typhoon ,Imbudo ,0,0,2003,7,26,HKG ,Hong Kong (China) ,East Asia ,Asia 
Typhoon ,Dujuan ,4,0,2003,9,2,HKG ,Hong Kong (China) ,East Asia ,Asia 
Storm , ,4,0,1984,2,13,HUN ,Hungary ,Rest of Europe ,Europe 
Winter , ,40,0,1999,2,0,HUN ,Hungary ,Rest of Europe ,Europe 
Winter , ,7,0,2003,2,1,HUN ,Hungary ,Rest of Europe ,Europe 
Winter , ,4,0,2005,1,0,HUN ,Hungary ,Rest of Europe ,Europe 
Cyclone , ,300,0,1916,11,21,IND ,India ,South Asia ,Asia 
Cyclone , ,1242,0,1924,9,23,IND ,India ,South Asia ,Asia 
Cyclone , ,80,0,1925,5,10,IND ,India ,South Asia ,Asia 
Cyclone , ,56,0,1927,7,23,IND ,India ,South Asia ,Asia 
Cyclone , ,629,0,1927,11,1,IND ,India ,South Asia ,Asia 
Storm , ,100,0,1935,11,13,IND ,India ,South Asia ,Asia 
Cyclone , ,60000,0,1935,0,0,IND ,India ,South Asia ,Asia 
Cyclone , ,233,0,1936,10,28,IND ,India ,South Asia ,Asia 
Cyclone , ,40000,0,1942,10,14,IND ,India ,South Asia ,Asia 
Cyclone , ,5000,0,1943,7,24,IND ,India ,South Asia ,Asia 
Storm , ,0,0,1943,10,3,IND ,India ,South Asia ,Asia 
Cyclone , ,304,0,1944,6,14,IND ,India ,South Asia ,Asia 
Cyclone , ,0,0,1945,9,18,IND ,India ,South Asia ,Asia 
Cyclone , ,1000,0,1949,10,27,IND ,India ,South Asia ,Asia 
Storm , ,90,0,1950,9,12,IND ,India ,South Asia ,Asia 
Cyclone , ,400,0,1952,11,26,IND ,India ,South Asia ,Asia 
Storm , ,350,0,1952,9,0,IND ,India ,South Asia ,Asia 
Cyclone , ,1500,0,1955,9,28,IND ,India ,South Asia ,Asia 
Cyclone , ,500,0,1955,11,28,IND ,India ,South Asia ,Asia 
Storm , ,120,0,1955,12,0,IND ,India ,South Asia ,Asia 
Cyclone , ,0,0,1956,5,29,IND ,India ,South Asia ,Asia 
Storm , ,0,0,1958,10,16,IND ,India ,South Asia ,Asia 
Storm , ,0,0,1962,9,16,IND ,India ,South Asia ,Asia 
Storm , ,200,0,1963,9,8,IND ,India ,South Asia ,Asia 
Cyclone , ,112,0,1963,4,0,IND ,India ,South Asia ,Asia 
Cyclone , ,500,0,1964,12,17,IND ,India ,South Asia ,Asia 
Cyclone , ,18,4200,1966,11,3,IND ,India ,South Asia ,Asia 
Cyclone , ,1000,0,1967,10,8,IND ,India ,South Asia ,Asia 
Cyclone , ,7,0,1968,12,4,IND ,India ,South Asia ,Asia 
Cyclone , ,600,8330,1969,5,17,IND ,India ,South Asia ,Asia 
Storm , ,15,0,1969,7,22,IND ,India ,South Asia ,Asia 
Storm , ,0,0,1969,10,21,IND ,India ,South Asia ,Asia 
Cyclone , ,200,0,1969,11,4,IND ,India ,South Asia ,Asia 
Storm , ,0,0,1970,11,19,IND ,India ,South Asia ,Asia 
Cyclone , ,9658,30000,1971,10,27,IND ,India ,South Asia ,Asia 
Cyclone , ,60,0,1971,9,27,IND ,India ,South Asia ,Asia 
Cyclone , ,100,0,1972,9,10,IND ,India ,South Asia ,Asia 
Storm , ,50,0,1972,10,21,IND ,India ,South Asia ,Asia 
Cyclone , ,80,0,1972,12,1,IND ,India ,South Asia ,Asia 
Cyclone , ,20,0,1974,8,15,IND ,India ,South Asia ,Asia 
Cyclone , ,0,0,1974,5,29,IND ,India ,South Asia ,Asia 
Storm , ,450,200000,1975,8,0,IND ,India ,South Asia ,Asia 
Storm , ,30,0,1975,9,0,IND ,India ,South Asia ,Asia 
Storm , ,21,0,1975,10,22,IND ,India ,South Asia ,Asia 
Cyclone , ,0,0,1975,11,24,IND ,India ,South Asia ,Asia 
Cyclone , ,0,0,1975,5,29,IND ,India ,South Asia ,Asia 
Cyclone , ,40,0,1976,9,8,IND ,India ,South Asia ,Asia 
Cyclone , ,95,260000,1976,11,22,IND ,India ,South Asia ,Asia 
Cyclone , ,87,3378,1976,5,29,IND ,India ,South Asia ,Asia 
Cyclone , ,18,0,1976,11,3,IND ,India ,South Asia ,Asia 
Cyclone , ,30,3378,1976,11,15,IND ,India ,South Asia ,Asia 
Cyclone , ,0,0,1976,12,29,IND ,India ,South Asia ,Asia 
Cyclone , ,14204,498535,1977,11,12,IND ,India ,South Asia ,Asia 
Cyclone , ,2,0,1977,10,27,IND ,India ,South Asia ,Asia 
Tornado , ,26,0,1978,3,17,IND ,India ,South Asia ,Asia 
Tornado , ,500,0,1978,4,16,IND ,India ,South Asia ,Asia 
Tornado , ,100,0,1978,4,16,IND ,India ,South Asia ,Asia 
Storm , ,15,0,1978,11,25,IND ,India ,South Asia ,Asia 
Cyclone , ,170,0,1978,11,3,IND ,India ,South Asia ,Asia 
Cyclone , ,594,12800,1979,5,12,IND ,India ,South Asia ,Asia 
Storm , ,125,0,1980,5,9,IND ,India ,South Asia ,Asia 
Cyclone , ,28,0,1980,10,16,IND ,India ,South Asia ,Asia 
Cyclone , ,0,0,1980,12,3,IND ,India ,South Asia ,Asia 
Tornado , ,120,0,1981,4,17,IND ,India ,South Asia ,Asia 
Storm , ,470,0,1981,11,1,IND ,India ,South Asia ,Asia 
Cyclone , ,200,0,1981,12,10,IND ,India ,South Asia ,Asia 
Cyclone , ,15,0,1981,8,7,IND ,India ,South Asia ,Asia 
Cyclone , ,0,0,1981,9,24,IND ,India ,South Asia ,Asia 
Cyclone , ,500,625420,1982,11,9,IND ,India ,South Asia ,Asia 
Cyclone , ,244,120000,1982,6,3,IND ,India ,South Asia ,Asia 
Cyclone , ,76,0,1983,4,0,IND ,India ,South Asia ,Asia 
Storm , ,24,0,1983,4,13,IND ,India ,South Asia ,Asia 
Winter , ,31,25000,1983,5,0,IND ,India ,South Asia ,Asia 
Cyclone , ,551,56000,1983,6,19,IND ,India ,South Asia ,Asia 
Cyclone , ,100,510000,1983,10,3,IND ,India ,South Asia ,Asia 
Cyclone , ,524,35000,1984,11,14,IND ,India ,South Asia ,Asia 
Cyclone , ,0,0,1984,10,13,IND ,India ,South Asia ,Asia 
Cyclone , ,0,0,1984,11,30,IND ,India ,South Asia ,Asia 
Tropical storm , ,78,0,1985,10,10,IND ,India ,South Asia ,Asia 
Storm ,Orilla ,100,0,1985,10,17,IND ,India ,South Asia ,Asia 
Cyclone , ,11,0,1986,5,16,IND ,India ,South Asia ,Asia 
Storm , ,71,0,1986,7,31,IND ,India ,South Asia ,Asia 
Tropical storm , ,13,272943,1986,9,25,IND ,India ,South Asia ,Asia 
Winter , ,65,0,1986,11,16,IND ,India ,South Asia ,Asia 
Winter , ,230,0,1986,0,0,IND ,India ,South Asia ,Asia 
Cyclone , ,38,0,1987,11,2,IND ,India ,South Asia ,Asia 
Cyclone , ,25,0,1987,11,14,IND ,India ,South Asia ,Asia 
Storm , ,63,0,1987,5,0,IND ,India ,South Asia ,Asia 
Storm , ,40,0,1987,10,18,IND ,India ,South Asia ,Asia 
Cyclone ,04B ,74,13000,1988,11,29,IND ,India ,South Asia ,Asia 
Cyclone , ,43,0,1989,5,26,IND ,India ,South Asia ,Asia 
Cyclone , ,50,0,1989,11,9,IND ,India ,South Asia ,Asia 
Cyclone ,02B ,957,580000,1990,5,9,IND ,India ,South Asia ,Asia 
Storm , ,500,0,1990,8,20,IND ,India ,South Asia ,Asia 
Storm , ,120,2200000,1990,8,25,IND ,India ,South Asia ,Asia 
Typhoon , ,250,800000,1990,11,0,IND ,India ,South Asia ,Asia 
Storm , ,0,1300000,1990,5,6,IND ,India ,South Asia ,Asia 
Storm , ,16,0,1990,4,20,IND ,India ,South Asia ,Asia 
Tropical storm ,4B ,125,0,1991,11,12,IND ,India ,South Asia ,Asia 
Cyclone , ,25,0,1992,4,22,IND ,India ,South Asia ,Asia 
Storm , ,60,0,1992,6,17,IND ,India ,South Asia ,Asia 
Cyclone , ,61,100000,1993,12,4,IND ,India ,South Asia ,Asia 
Cyclone , ,125,0,1993,4,9,IND ,India ,South Asia ,Asia 
Cyclone , ,208,19100,1994,10,31,IND ,India ,South Asia ,Asia 
Tornado , ,11,0,1994,6,7,IND ,India ,South Asia ,Asia 
Cyclone , ,128,46300,1995,11,10,IND ,India ,South Asia ,Asia 
Cyclone ,3,731,0,1996,6,0,IND ,India ,South Asia ,Asia 
Cyclone , ,92,0,1996,7,2,IND ,India ,South Asia ,Asia 
Cyclone ,07B ,708,570000,1996,11,6,IND ,India ,South Asia ,Asia 
