# wind_disasters.csv,,,,,,,,,,
# file format as follows,,,,,,,,,,
# type,event_name ,num_killed ,damage ,start_year ,start_month ,start_day ,iso ,country_name ,region ,continent 
Storm , ,10,0,1993,5,14,AFG ,Afghanistan ,South Asia ,Asia 
Storm , ,0,28000,1991,7,13,AUT ,Austria ,European Union ,Europe 
Storm , ,0,35210,2000,6,7,AUT ,Austria ,European Union ,Europe 
Storm , ,2,0,2002,10,27,AUT ,Austria ,European Union ,Europe 
Storm , ,1,0,2002,11,14,AUT ,Austria ,European Union ,Europe 
Hurricane , ,27,0,1946,10,0,AZO ,Azores ,Rest of Europe ,Europe 
Storm , ,0,66000,1996,12,25,AZO ,Azores ,Rest of Europe ,Europe 
Hurricane , ,0,0,1926,7,26,BHS ,Bahamas ,Caribbean ,Americas 
Hurricane , ,0,0,1929,9,26,BHS ,Bahamas ,Caribbean ,Americas 
Hurricane , ,14,0,1935,9,29,BHS ,Bahamas ,Caribbean ,Americas 
Hurricane , ,22,0,1945,9,14,BHS ,Bahamas ,Caribbean ,Americas 
Hurricane ,Flora ,0,1500,1963,10,8,BHS ,Bahamas ,Caribbean ,Americas 
Hurricane ,Betsy ,0,700,1965,9,9,BHS ,Bahamas ,Caribbean ,Americas 
Hurricane ,Inez ,5,15500,1966,10,3,BHS ,Bahamas ,Caribbean ,Americas 
Hurricane ,Inez ,0,0,1966,9,0,BHS ,Bahamas ,Caribbean ,Americas 
Tropical storm ,Arthur ,0,0,1990,7,27,BHS ,Bahamas ,Caribbean ,Americas 
Hurricane ,Andrew ,4,250000,1992,8,23,BHS ,Bahamas ,Caribbean ,Americas 
Hurricane ,Floyd ,1,0,1999,9,15,BHS ,Bahamas ,Caribbean ,Americas 
Hurricane ,Michelle ,0,250000,2001,11,9,BHS ,Bahamas ,Caribbean ,Americas 
Hurricane ,Frances ,2,0,2004,9,2,BHS ,Bahamas ,Caribbean ,Americas 
Hurricane ,Jeanne ,0,0,2004,9,25,BHS ,Bahamas ,Caribbean ,Americas 
Hurricane ,Wilma ,0,0,2005,10,19,BHS ,Bahamas ,Caribbean ,Americas 
Cyclone , ,0,0,1904,11,0,BGD ,Bangladesh ,South Asia ,Asia 
Cyclone , ,172,0,1909,10,15,BGD ,Bangladesh ,South Asia ,Asia 
Cyclone , ,0,0,1909,12,0,BGD ,Bangladesh ,South Asia ,Asia 
Cyclone , ,0,0,1911,4,0,BGD ,Bangladesh ,South Asia ,Asia 
Cyclone , ,0,0,1919,9,23,BGD ,Bangladesh ,South Asia ,Asia 
Cyclone , ,0,0,1922,4,19,BGD ,Bangladesh ,South Asia ,Asia 
Cyclone , ,6,0,1923,5,7,BGD ,Bangladesh ,South Asia ,Asia 
Cyclone , ,0,0,1926,5,19,BGD ,Bangladesh ,South Asia ,Asia 
Cyclone , ,0,0,1937,10,11,BGD ,Bangladesh ,South Asia ,Asia 
